Date,Campaign name,Ad Spent,No. of leads,CTR,Link click,LP views,Cost Per Lead,Member passed,LP Conversion %
01 Mar (Fri),3dayslive – Copy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
03 Mar (Sun),3dayslive – Copy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04 Mar (Mon),3dayslive – Copy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05 Mar (Tue),3dayslive – Copy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01 Mar (Fri),3dayslive – Copy 2 - Advantage+ shopping campaign,1899.99,12.0,1.472565,252.0,209.0,158.3325,82.93650793650794,5.741626794258373
02 Mar (Sat),3dayslive – Copy 2 - Advantage+ shopping campaign,1896.02,5.0,0.990656,176.0,135.0,379.204,76.70454545454545,3.7037037037037033
03 Mar (Sun),3dayslive – Copy 2 - Advantage+ shopping campaign,1520.26,8.0,0.999303,129.0,99.0,190.0325,76.74418604651163,8.080808080808081
04 Mar (Mon),3dayslive – Copy 2 - Advantage+ shopping campaign,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
05 Mar (Tue),3dayslive – Copy 2 - Advantage+ shopping campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06 Mar (Wed),3dayslive – Copy 2 - Advantage+ shopping campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07 Mar (Thu),3dayslive – Copy 2 - Advantage+ shopping campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08 Mar (Fri),3dayslive – Copy 2 - Advantage+ shopping campaign,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17 Mar (Sun),Feedbackrs9,1941.11,21.0,0.668271,100.0,80.0,92.43380952380951,80.0,26.25
18 Mar (Mon),Feedbackrs9,2001.02,10.0,0.540239,97.0,63.0,200.102,64.94845360824742,15.873015873015872
19 Mar (Tue),Feedbackrs9,2009.33,18.0,0.643808,135.0,87.0,111.62944444444445,64.44444444444444,20.689655172413794
20 Mar (Wed),Feedbackrs9,1997.54,11.0,0.430429,92.0,75.0,181.59454545454545,81.52173913043478,14.666666666666666
21 Mar (Thu),Feedbackrs9,1982.31,20.0,0.501151,111.0,90.0,99.1155,81.08108108108108,22.22222222222222
22 Mar (Fri),Feedbackrs9,1983.0,11.0,0.410152,101.0,71.0,180.27272727272728,70.29702970297029,15.492957746478872
23 Mar (Sat),Feedbackrs9,1941.17,15.0,0.402319,102.0,72.0,129.41133333333335,70.58823529411765,20.833333333333336
